,City,Lng,Lat,Weather Id,Weather Main,Weather Description,Weather Icon,Base,Main Temp,Main Pressure,Humidity,Min Temp,Max Temp,Sea Level,Grnd Level,Wind Speed,Wind Deg,Cloudiness,Date,Country,Sunrise,Sunset,Timezone,id,cod
0,Mataura,168.86,-46.19,500,Rain,light rain,10d,stations,287.59,988,82,287.59,287.59,,,4.02,308.0,62,1575422788,NZ,1575391711,1575447642,46800,6201424,200
1,Saldanha,-6.55,41.42,800,Clear,clear sky,01n,model,274.13,1017,85,274.13,274.13,1017.0,939.0,2.61,54.0,0,1575422788,PT,1575444945,1575478629,0,2737599,200
2,Taltal,-70.49,-25.41,800,Clear,clear sky,01n,model,286.98,1013,84,286.98,286.98,1013.0,966.0,2.19,226.0,0,1575422788,CL,1575366203,1575415223,-10800,3870243,200
3,Storm Lake,-95.21,42.64,800,Clear,clear sky,01n,stations,273.15,1008,88,272.59,273.71,,,6.2,270.0,1,1575422788,US,1575380002,1575413293,-21600,4877655,200
4,Saint Marys,-78.56,41.43,804,Clouds,overcast clouds,04n,stations,271.3,1003,92,269.82,272.59,,,4.49,260.0,90,1575422788,US,1575375781,1575409519,-18000,5210117,200
5,Mar del Plata,-67.52,-46.43,802,Clouds,scattered clouds,03n,model,285.91,1018,60,285.91,285.91,1018.0,1008.0,3.63,66.0,41,1575422728,AR,1575361994,1575418006,-10800,3863379,200
6,Rikitea,-134.97,-23.12,500,Rain,light rain,10d,model,297.77,1014,86,297.77,297.77,1014.0,1014.0,6.93,96.0,62,1575422789,PF,1575381957,1575430427,-32400,4030556,200
7,Punta Cardon,-70.22,11.61,800,Clear,clear sky,01n,model,301.24,1009,79,301.24,301.24,1009.0,1008.0,10.98,76.0,1,1575422789,VE,1575369976,1575411321,-14400,3629614,200
8,Busselton,115.35,-33.64,802,Clouds,scattered clouds,03d,stations,299.99,1015,67,297.59,302.04,,,1.34,186.0,42,1575422789,AU,1575406881,1575458164,28800,2075265,200
9,Tandalti,31.87,13.01,800,Clear,clear sky,01n,model,296.45,1010,34,296.45,296.45,1010.0,962.0,5.0,345.0,0,1575422789,SD,1575432039,1575473087,7200,366426,200
10,Yellowknife,-114.38,62.45,802,Clouds,scattered clouds,03n,stations,255.15,1003,77,255.15,255.15,,,6.7,340.0,40,1575422506,CA,1575391200,1575411299,-25200,6185377,200
11,Upernavik,-56.15,72.79,804,Clouds,overcast clouds,04n,model,261.51,986,59,261.51,261.51,986.0,983.0,4.34,113.0,100,1575422789,GL,0,0,-10800,3418910,200
12,Geraldton,-86.95,49.72,600,Snow,light snow,13n,stations,268.15,993,92,268.15,268.15,,,1.0,,90,1575422789,CA,1575379556,1575409773,-18000,5960603,200
13,Cap-aux-Meules,-61.86,47.38,701,Mist,mist,50n,stations,277.15,984,93,277.15,277.15,,,3.1,100.0,90,1575422789,CA,1575372968,1575404315,-14400,5915327,200
14,Aksay,53.01,51.17,804,Clouds,overcast clouds,04n,model,267.73,1019,43,267.73,267.73,1019.0,1009.0,4.53,161.0,100,1575422789,KZ,1575432796,1575462181,18000,610613,200
15,Ushuaia,-68.31,-54.81,803,Clouds,broken clouds,04n,stations,283.15,1009,71,283.15,283.15,,,9.3,230.0,75,1575422591,AR,1575359698,1575420681,-10800,3833367,200
16,Mahebourg,57.7,-20.41,802,Clouds,scattered clouds,03d,stations,297.41,1015,78,297.15,297.59,,,3.1,100.0,40,1575422790,MU,1575422436,1575470289,14400,934322,200
17,Bafoulabe,-10.83,13.81,803,Clouds,broken clouds,04n,model,297.08,1012,16,297.08,297.08,1012.0,994.0,1.97,8.0,54,1575422790,ML,1575442373,1575483255,0,2460755,200
18,Sao Filipe,-24.5,14.9,804,Clouds,overcast clouds,04n,model,295.32,1016,81,295.32,295.32,1016.0,996.0,7.0,67.0,100,1575422790,CV,1575445769,1575486423,-3600,3374210,200
19,Kawasaki,139.71,35.52,801,Clouds,few clouds,02d,stations,285.27,1017,32,283.71,286.15,,,1.0,,20,1575422790,JP,1575408852,1575444497,32400,1859642,200
20,Punta Arenas,-70.91,-53.16,803,Clouds,broken clouds,04n,stations,285.03,1015,62,284.82,285.15,,,11.8,260.0,75,1575422790,CL,1575360913,1575420715,-10800,3874787,200
21,Kapaa,-159.32,22.08,500,Rain,light rain,10d,stations,299.27,1015,69,297.59,300.15,,,4.6,80.0,90,1575422591,US,1575392480,1575431595,-36000,5848280,200
22,Nishihara,139.53,35.74,801,Clouds,few clouds,02d,stations,285.29,1017,36,283.71,286.15,,,1.0,,20,1575422790,JP,1575408928,1575444507,32400,1850144,200
23,Codrington,153.24,-28.95,800,Clear,clear sky,01d,stations,303.79,1010,12,301.15,305.93,,,3.1,30.0,0,1575422790,AU,1575398452,1575448401,39600,2160063,200
24,Grindavik,-22.43,63.84,803,Clouds,broken clouds,04n,stations,274.62,977,69,274.15,275.15,,,5.7,240.0,75,1575422790,IS,1575456648,1575474550,0,3416888,200
25,Colares,-9.45,38.8,800,Clear,clear sky,01n,stations,281.68,1013,81,279.82,282.59,,,3.1,310.0,0,1575422791,PT,1575445189,1575479777,0,2269142,200
26,Hay River,-115.79,60.82,600,Snow,light snow,13n,stations,260.15,1007,78,260.15,260.15,,,9.8,320.0,90,1575422791,CA,1575390557,1575412618,-25200,5972762,200
27,Jamestown,138.6,-33.21,802,Clouds,scattered clouds,03d,model,292.61,1017,36,292.61,292.61,1017.0,961.0,3.07,220.0,50,1575422791,AU,1575401366,1575452517,37800,2069194,200
28,Kedrovyy,91.82,56.17,803,Clouds,broken clouds,04n,stations,259.15,1025,92,259.15,259.15,,,2.0,,78,1575422791,RU,1575425073,1575451269,25200,1538641,200
29,Albany,-73.75,42.65,802,Clouds,scattered clouds,03n,stations,269.31,1001,58,266.48,272.15,,,6.2,310.0,40,1575422558,US,1575374849,1575408141,-18000,5106834,200
30,Hobart,147.33,-42.88,802,Clouds,scattered clouds,03d,stations,286.16,996,58,283.71,288.15,,,13.4,280.0,40,1575422695,AU,1575397599,1575452092,39600,2163355,200
31,Beyla,-8.65,8.69,800,Clear,clear sky,01n,model,293.85,1013,36,293.85,293.85,1013.0,936.0,1.04,318.0,0,1575422791,GN,1575441331,1575483251,0,2423126,200
32,Georgetown,-58.16,6.8,802,Clouds,scattered clouds,03n,stations,298.15,1012,94,298.15,298.15,,,2.1,60.0,40,1575422791,GY,1575366602,1575408904,-14400,3378644,200
33,Douglas,-134.39,58.28,501,Rain,moderate rain,10n,stations,274.04,1004,97,273.15,274.82,,,3.6,80.0,90,1575422791,US,1575393781,1575418325,-32400,5554072,200
